;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-29APR22-30000-C;1649518277112;open;0.29580075;171.5;0.0001;0.794;0.29437962;0.3;BTC-29APR22-30000-C;42363.54;;42363.54;;0.0005;0.1;0.0;0.0;;;;;;42429.57;BTC-29APR22;76.46;0.0;0.0;0.0;4.89763;-9.51062;15.67604;1e-05;0.97937;19.0;30000.0;1.6512264e+18;0.7079813092934346
BTC-31MAR23-60000-P;1649518278120;open;0.45443264;0.0;0.005;1.0045;0.50495302;0.4635;BTC-31MAR23-60000-P;42363.69;;42363.69;;0.4315;5.0;0.5755;5.0;;0.4;-3.0335;0.4635;0.478;44674.83;BTC-31MAR23;67.38;0.0;48.14;85.32;174.86192;-16.56369;-456.71301;1e-05;-0.54411;355.0;60000.0;1.6802568e+18;1.4159626185868692
BTC-31MAR23-50000-P;1649518278118;open;0.32972044;96.8;0.0001;0.839;0.33907643;0.38;BTC-31MAR23-50000-P;42363.69;;42363.69;;0.2975;7.0;0.0;0.0;;9.0;8.5714;0.35;0.38;44674.68;BTC-31MAR23;67.28;0.0;56.64;0.0;173.62931;-16.42169;-337.19166;1e-05;-0.43545;355.0;50000.0;1.6802568e+18;1.1799688488223912
BTC-22APR22-40000-C;1649518278118;open;0.08711538;95.4;0.0001;0.5735;0.07375907;0.0765;BTC-22APR22-40000-C;42363.69;;42363.69;;0.071;3.9;0.0;0.0;;50.6;0.0;0.0765;0.0765;42367.67;BTC-22APR22;54.98;0.0;50.44;0.0;26.12516;-56.60356;9.66161;8e-05;0.72984;12.0;40000.0;1.6506216e+18;0.9439750790579129
BTC-15APR22-40000-C;1649518278118;open;0.0652062;386.0;0.0001;0.5635;0.06352881;0.104;BTC-15APR22-40000-C;42363.69;;42363.69;;0.0;0.0;0.104;0.1;;1915.9;17.6471;0.0631;0.107;42375.83;BTC-15APR22;55.01;0.0;0.0;150.15;14.39538;-69.63029;4.92245;9e-05;0.8091;5.0;40000.0;1.6500168e+18;0.9439750790579129
BTC-31MAR23-60000-C;1649518278118;open;0.11623929;9.7;0.0001;0.6615;0.16193113;0.1655;BTC-31MAR23-60000-C;42363.69;;42363.69;;0.1585;12.0;0.0;0.0;;8.6;4.0881;0.159;0.1655;44674.68;BTC-31MAR23;67.38;0.0;66.51;0.0;174.86124;-16.56363;127.97676;1e-05;0.45589;355.0;60000.0;1.6802568e+18;1.4159626185868692
BTC-22APR22-45000-C;1649518278119;open;0.01903524;26.1;0.0001;0.5145;0.01496626;0.015;BTC-22APR22-45000-C;42363.69;;42363.69;;0.0145;12.0;0.0155;12.0;;18.8;0.0;0.015;0.015;42367.67;BTC-22APR22;49.94;0.0;49.19;50.8;26.30812;-51.78196;3.81437;8e-05;0.27398;12.0;45000.0;1.6506216e+18;1.061971963940152
BTC-29APR22-30000-P;1649518278118;open;0.00126464;593.8;0.0001;0.501;0.00143537;0.001;BTC-29APR22-30000-P;42363.69;;42363.69;;0.001;12.0;0.0015;10.0;;159.4;0.0;0.001;0.002;42429.54;BTC-29APR22;76.46;0.0;72.26;77.01;4.89767;-9.51069;-0.50491;1e-05;-0.02063;19.0;30000.0;1.6512264e+18;0.7079813092934346
BTC-24JUN22-200000-C;1649518278120;open;0.00937073;569.9;0.0001;0.509;0.00916233;0.0005;BTC-24JUN22-200000-C;42363.69;;42363.69;;0.0;0.0;0.0;0.0;;72.0;0.0;0.0005;0.0005;42690.08;BTC-24JUN22;160.0;0.0;0.0;0.0;16.61569;-17.56257;2.69443;0.0;0.0396;75.0;200000.0;1.6560648e+18;4.719875395289565
BTC-27MAY22-40000-C;1649518278118;open;0.12965598;588.7;0.0001;0.6175;0.11782229;0.1375;BTC-27MAY22-40000-C;42363.69;;42363.69;;0.116;4.7;0.0;0.0;;;;;;42513.37;BTC-27MAY22;60.89;0.0;59.53;0.0;56.88256;-36.31695;29.59181;4e-05;0.65059;47.0;40000.0;1.6536456e+18;0.9439750790579129
BTC-24JUN22-75000-C;1649518279125;open;0.00025837;231.8;0.0001;0.6085;0.10872386;0.014;BTC-24JUN22-75000-C;42364.23;;42364.23;;0.014;1.0;0.0;0.0;;;;;;42690.08;BTC-24JUN22;155.0;0.0;81.96;0.0;70.22752;-71.90987;19.40964;1e-05;0.32799;75.0;75000.0;1.6560648e+18;1.7699532732335865
BTC-15APR22-46000-C;1649518279128;open;0.00696072;99.3;0.0001;0.502;0.00223233;0.0025;BTC-15APR22-46000-C;42364.23;;42364.23;;0.002;12.0;0.003;12.0;;35.1;-66.6667;0.0025;0.0075;42376.56;BTC-15APR22;46.93;0.0;45.69;50.6;8.2395;-33.99523;0.54724;6e-05;0.08512;5.0;46000.0;1.6500168e+18;1.0855713409166
BTC-15APR22-40000-P;1649518279127;open;0.00680627;687.0;0.0001;0.507;0.00746312;0.0075;BTC-15APR22-40000-P;42364.23;;42364.23;;0.0065;12.0;0.0075;12.0;;68.5;15.3846;0.0065;0.0075;42376.56;BTC-15APR22;55.01;0.0;52.13;55.13;14.39247;-69.61621;-1.30921;9e-05;-0.19083;5.0;40000.0;1.6500168e+18;0.9439750790579129
BTC-11APR22-39000-C;1649518279125;open;;0.0;0.0001;0.584;0.08446983;;BTC-11APR22-39000-C;42364.23;;42364.23;;0.0;0.0;0.0;0.0;;;;;;42367.33510195;SYN.BTC-11APR22;111.0;0.0;0.0;0.0;6.03231;-198.47951;1.54167;7e-05;0.87186;1.0;39000.0;1.6496712e+18;0.920375702081465
BTC-31MAR23-35000-P;1649518279126;open;0.18008283;1.4;0.0001;0.681;0.18149395;0.0005;BTC-31MAR23-35000-P;42364.23;;42364.23;;0.0;0.0;0.0;0.0;;1.0;0.0;0.0005;0.0005;44674.29;BTC-31MAR23;81.21;0.0;0.0;0.0;137.19737;-15.66312;-183.63727;1e-05;-0.24032;355.0;35000.0;1.6802568e+18;0.8259781941756738
BTC-27MAY22-35000-C;1649518279128;open;0.20756451;3.2;0.0001;0.7015;0.20154824;0.3105;BTC-27MAY22-35000-C;42364.23;;42364.23;;0.0;0.0;0.2955;0.1;;;;;;42513.65;BTC-27MAY22;65.56;0.0;0.0;150.24;39.44376;-27.11561;34.69326;3e-05;0.82617;47.0;35000.0;1.6536456e+18;0.8259781941756738
BTC-11APR22-42000-P;1649518279127;open;;100.0;0.0001;0.508;0.00830463;0.026;BTC-11APR22-42000-P;42364.23;;42364.23;;0.007;12.0;0.008;4.8;;1250.0;-6.81;0.0254;0.0283;42367.33510195;SYN.BTC-11APR22;45.0;0.0;39.94;43.82;10.98475;-146.52363;-0.76441;0.00029;-0.38211;1.0;42000.0;1.6496712e+18;0.9911738330108085
BTC-24JUN22-45000-C;1649518279126;open;0.06119402;266.4;0.0001;0.5595;0.05950464;0.1445;BTC-24JUN22-45000-C;42364.23;;42364.23;;0.1245;33.6;0.0;0.0;;1.8;0.0;0.1445;0.1445;42690.08;BTC-24JUN22;45.0;0.0;80.87;0.0;76.63089;-22.78066;33.55209;5e-05;0.43853;75.0;45000.0;1.6560648e+18;1.061971963940152
BTC-24JUN22-100000-C;1649518279126;open;0.06466699;319.9;0.0001;0.5635;0.0638527;0.004;BTC-24JUN22-100000-C;42364.23;;42364.23;;0.004;0.3;0.0;0.0;;;;;;42690.08;BTC-24JUN22;160.0;0.0;89.19;0.0;56.13528;-59.33428;12.99932;1e-05;0.2107;75.0;100000.0;1.6560648e+18;2.3599376976447823
BTC-22APR22-60000-P;1649518279126;open;0.38393188;0.0;0.0001;0.916;0.4164939;;BTC-22APR22-60000-P;42364.23;;42364.23;;0.0;0.0;0.0;0.0;;;;;;42367.9;BTC-22APR22;74.35;0.0;0.0;0.0;1.6026;-4.69615;-20.75182;0.0;-0.99267;12.0;60000.0;1.6506216e+18;1.4159626185868692
BTC-15APR22-60000-C;1649518279126;open;0.00044567;81.2;0.0001;0.5;0.00033697;0.0005;BTC-15APR22-60000-C;42364.23;;42364.23;;0.0;0.0;0.0005;12.0;;6.5;0.0;0.0005;0.0005;42376.56;BTC-15APR22;111.67;0.0;0.0;117.02;1.11483;-10.94574;0.04829;0.0;0.00765;5.0;60000.0;1.6500168e+18;1.4159626185868692
